text,audio_path,image_path,template
स्पीडबोट,hi/hi_palladium.mp3,ILSVRC/Data/CLS-LOC/train/n04273569/n04273569_7291.JPEG,1
هوكس,en/en_hawkes.mp3,lebanon.png,2
ladle,en/en_inuyasha.mp3,ILSVRC/Data/CLS-LOC/train/n03633091/n03633091_12226.JPEG,1
सल्फर तितली,hi/hi_situ.mp3,ILSVRC/Data/CLS-LOC/train/n02281406/n02281406_1847.JPEG,1
アルバ,hi/hi_alba.mp3,japan.png,2
κόκορας,el/el_tmdl.mp3,ILSVRC/Data/CLS-LOC/train/n01514668/n01514668_20536.JPEG,1
हनोवर,el/el_hannover.mp3,india.png,2
βινύλι,ar/ar_vinyl.mp3,greece.png,2
λευκός Λύκος,el/el_practicum.mp3,ILSVRC/Data/CLS-LOC/train/n02114548/n02114548_34.JPEG,1
खिलौने वाला पिल्ला,hi/hi_imf.mp3,ILSVRC/Data/CLS-LOC/train/n02113624/n02113624_7150.JPEG,1
हिंडोला,hi/hi_restrictions.mp3,ILSVRC/Data/CLS-LOC/train/n02966193/n02966193_11986.JPEG,1
βασανιστήριο,hi/hi_torment.mp3,greece.png,2
hen,en/en_vinyl.mp3,ILSVRC/Data/CLS-LOC/train/n01514859/n01514859_11940.JPEG,1
τεριέ του γιορκσάιρ,el/el_rhymes.mp3,ILSVRC/Data/CLS-LOC/train/n02094433/n02094433_300.JPEG,1
هيلزديل,el/el_hillsdale.mp3,lebanon.png,2
toon,ar/ar_toon.mp3,usa.png,2
舗装する,el/el_pave.mp3,japan.png,2
コンテナ船,ja/ja_freshmen.mp3,ILSVRC/Data/CLS-LOC/train/n03095699/n03095699_6467.JPEG,1
χέλι,el/el_chant.mp3,ILSVRC/Data/CLS-LOC/train/n02526121/n02526121_1338.JPEG,1
inspector,el/el_inspector.mp3,usa.png,2
मिस्र की बिल्ली,hi/hi_telugu.mp3,ILSVRC/Data/CLS-LOC/train/n02124075/n02124075_12946.JPEG,1
شملها الاستطلاع,hi/hi_surveyed.mp3,lebanon.png,2
रोबोटिक,el/el_robotic.mp3,india.png,2
भारी अड़चन,hi/hi_reactor.mp3,ILSVRC/Data/CLS-LOC/train/n02058221/n02058221_19842.JPEG,1
χέλι,el/el_shaken.mp3,ILSVRC/Data/CLS-LOC/train/n02526121/n02526121_10382.JPEG,1
στιγμιαίος,en/en_instantaneous.mp3,greece.png,2
δέκατος τέταρτος,ar/ar_fourteenth.mp3,greece.png,2
ανενόχλητος,en/en_undisturbed.mp3,greece.png,2
μέδουσα,el/el_cer.mp3,ILSVRC/Data/CLS-LOC/train/n01910747/n01910747_16182.JPEG,1
वाल्टर,en/en_walter.mp3,india.png,2
ニックス,ar/ar_knicks.mp3,japan.png,2
εύγλωττος,ar/ar_eloquent.mp3,greece.png,2
プランジャー,ja/ja_contax.mp3,ILSVRC/Data/CLS-LOC/train/n03970156/n03970156_28641.JPEG,1
首輪,el/el_collars.mp3,japan.png,2
एकाधिक,ja/ja_multiple.mp3,india.png,2
πρβλ,en/en_cfg.mp3,greece.png,2
製材所,ja/ja_shepherds.mp3,ILSVRC/Data/CLS-LOC/train/n03697007/n03697007_32613.JPEG,1
فارم,ja/ja_pharm.mp3,lebanon.png,2
ソリティア,hi/hi_solitaire.mp3,japan.png,2
