text,audio_path,image_path,template
スパチュラ,/cv-corpus-14.0-2023-06-23/ja/clips/common_voice_ja_22191884.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n04270147/n04270147_9165.JPEG,1
हिंदेशियन वस्र,/cv-corpus-14.0-2023-06-23/hi/clips/common_voice_hi_27744614.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n04136333/n04136333_8446.JPEG,1
दवाओं का बक्सा,/cv-corpus-14.0-2023-06-23/hi/clips/common_voice_hi_25745759.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n03742115/n03742115_23533.JPEG,1
कारागार,/cv-corpus-14.0-2023-06-23/hi/clips/common_voice_hi_26351286.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n04005630/n04005630_94112.JPEG,1
मानक पूडल,/cv-corpus-14.0-2023-06-23/hi/clips/common_voice_hi_26204012.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n02113799/n02113799_374.JPEG,1
مريلة,/cv-corpus-14.0-2023-06-23/ar/clips/common_voice_ar_24146626.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n02834397/n02834397_980.JPEG,1
ορείχαλκος,/cv-corpus-14.0-2023-06-23/el/clips/common_voice_el_25652479.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n02892201/n02892201_17958.JPEG,1
ボクサー,/cv-corpus-14.0-2023-06-23/ja/clips/common_voice_ja_36330735.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n02108089/n02108089_1970.JPEG,1
बटुआ,/cv-corpus-14.0-2023-06-23/hi/clips/common_voice_hi_26358113.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n04548362/n04548362_69158.JPEG,1
崖の住居,/cv-corpus-14.0-2023-06-23/ja/clips/common_voice_ja_31251165.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n03042490/n03042490_3041.JPEG,1
ラム,/cv-corpus-14.0-2023-06-23/ja/clips/common_voice_ja_35948904.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n02412080/n02412080_16908.JPEG,1
basenji,/cv-corpus-14.0-2023-06-23/ja/clips/common_voice_ja_37190712.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n02110806/n02110806_2234.JPEG,1
μάσκα,/cv-corpus-14.0-2023-06-23/el/clips/common_voice_el_20732518.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n03724870/n03724870_14792.JPEG,1
كوهو,/cv-corpus-14.0-2023-06-23/ar/clips/common_voice_ar_24055675.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n02536864/n02536864_12184.JPEG,1
राजा साँप,/cv-corpus-14.0-2023-06-23/hi/clips/common_voice_hi_25323016.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n01734418/n01734418_7246.JPEG,1
ホホジロザメ,/cv-corpus-14.0-2023-06-23/ja/clips/common_voice_ja_37661414.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n01484850/n01484850_21180.JPEG,1
菓子類,/cv-corpus-14.0-2023-06-23/ja/clips/common_voice_ja_27475438.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n03089624/n03089624_19699.JPEG,1
oscilloscope,/cv-corpus-14.0-2023-06-23/en/clips/common_voice_en_33639318.mp3,/imagenet/ILSVRC/Data/CLS-LOC/train/n03857828/n03857828_29208.JPEG,1
